id,Location,Type,Count
LBab1,Bambasi,5,0
LBab30,Bambasi,5,9
HBab13,Bambasi,5,0
HBab15,Bambasi,5,0
HBab17,Bambasi,5,0
HBab79,Bambasi,5,0
HBab95,Bambasi,5,0
HBab100,Bambasi,5,9
HBab118,Bambasi,5,9
LBab98,Bambasi,5,0
HKum9,Kurmuk,5,0
HAss14,Asosa,6,6
HAss42,Asosa,6,6
HKum11,Kurmuk,6,6
HShr118,Sherkole,6,6
HShr122,Sherkole,6,6
HShr17,Sherkole,6,6
HShr49,Sherkole,6,6
HShr70,Sherkole,6,6
HShr80,Sherkole,6,6
HShr82,Sherkole,6,6
HKum47,Kurmuk,6,6
HShr86,Sherkole,6,6
HShr98,Sherkole,6,6
LKum28,Kurmuk,6,6
LKum61,Kurmuk,6,6
LKum74,Kurmuk,6,6
LShr108,Sherkole,6,6
LShr112,Sherkole,6,6
LShr116,Sherkole,6,6
LShr132,Sherkole,6,6
LShr133,Sherkole,6,6
LShr157,Sherkole,6,6
LShr165,Sherkole,6,6
LShr171,Sherkole,6,6
LShr177,Sherkole,6,6
LShr44,Sherkole,6,6
LShr64,Sherkole,6,6
LShr86,Sherkole,6,6
HAss35,Asosa,6,0
HKum57,Kurmuk,6,6
HKum67,Kurmuk,6,6
HShr105,Sherkole,6,6
HShr12,Sherkole,6,6
HShr133,Sherkole,6,6
HShr3,Sherkole,6,6
HShr44,Sherkole,6,6
HShr48,Sherkole,6,6
HShr64,Sherkole,6,6
HShr87,Sherkole,6,6
LKum58,Kurmuk,6,0
LShr61,Sherkole,6,0
LShr73,Sherkole,6,6
HAss23,Asosa,6,6
HAss39,Asosa,6,6
HKum19,Kurmuk,6,6
HKum34,Kurmuk,6,6
HShr114,Sherkole,6,6
HShr126,Sherkole,6,6
HShr14,Sherkole,6,6
HShr146,Sherkole,6,6
HShr148,Sherkole,6,6
HShr161,Sherkole,6,6
HShr182,Sherkole,6,6
HShr31,Sherkole,6,6
HShr45,Sherkole,6,6
HShr65,Sherkole,6,6
HShr71,Sherkole,6,0
HShr77,Sherkole,6,0
HShr88,Sherkole,6,6
HShr96,Sherkole,6,6
LAss15,Asosa,6,0
LKum12,Kurmuk,6,6
LKum17,Kurmuk,6,6
LShr3,Sherkole,6,6
LShr5,Sherkole,6,6
HBab18,Bambasi,6,6
